"sample_size","attrition_rate","intercept_t1","intercept_change","var_t1","var_change","reliability","self_feedback","sum_occured_neg_var","sum_converge","power"
180,0.1,50,5,1,0.1,0.7,-0.05,21,100,13
180,0.2,50,5,1,0.1,0.7,-0.05,13,100,13
180,0.4,50,5,1,0.1,0.7,-0.05,24,100,6
180,0.1,50,5,1,0.2,0.7,-0.05,1,100,55
180,0.2,50,5,1,0.2,0.7,-0.05,1,100,56
180,0.4,50,5,1,0.2,0.7,-0.05,1,100,43
180,0.1,50,5,1,0.3,0.7,-0.05,0,100,87
180,0.2,50,5,1,0.3,0.7,-0.05,0,100,76
180,0.4,50,5,1,0.3,0.7,-0.05,0,100,69
180,0.1,50,5,1,0.4,0.7,-0.05,0,100,96
180,0.2,50,5,1,0.4,0.7,-0.05,0,100,95
180,0.4,50,5,1,0.4,0.7,-0.05,0,100,90
180,0.1,50,5,1,0.5,0.7,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.7,-0.05,0,100,99
180,0.4,50,5,1,0.5,0.7,-0.05,0,100,97
180,0.1,50,5,1,0.1,0.8,-0.05,6,100,44
180,0.2,50,5,1,0.1,0.8,-0.05,3,100,45
180,0.4,50,5,1,0.1,0.8,-0.05,8,100,28
180,0.1,50,5,1,0.2,0.8,-0.05,0,100,97
180,0.2,50,5,1,0.2,0.8,-0.05,0,100,99
180,0.4,50,5,1,0.2,0.8,-0.05,1,100,88
180,0.1,50,5,1,0.3,0.8,-0.05,0,100,100
180,0.2,50,5,1,0.3,0.8,-0.05,0,100,100
180,0.4,50,5,1,0.3,0.8,-0.05,0,100,100
180,0.1,50,5,1,0.4,0.8,-0.05,0,100,100
180,0.2,50,5,1,0.4,0.8,-0.05,0,100,100
180,0.4,50,5,1,0.4,0.8,-0.05,0,100,98
180,0.1,50,5,1,0.5,0.8,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.8,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.8,-0.05,0,100,100
180,0.1,50,5,1,0.1,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.1,0.9,-0.05,0,100,98
180,0.4,50,5,1,0.1,0.9,-0.05,0,100,96
180,0.1,50,5,1,0.2,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.2,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.2,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.3,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.3,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.3,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.4,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.4,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.4,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.5,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.1,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.1,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.1,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.2,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.2,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.2,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.3,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.3,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.3,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.4,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.4,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.4,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.5,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.1,0.7,-0.2,23,100,15
180,0.2,50,5,1,0.1,0.7,-0.2,17,100,9
180,0.4,50,5,1,0.1,0.7,-0.2,22,100,11
180,0.1,50,5,1,0.2,0.7,-0.2,1,100,65
180,0.2,50,5,1,0.2,0.7,-0.2,3,100,53
180,0.4,50,5,1,0.2,0.7,-0.2,2,100,51
180,0.1,50,5,1,0.3,0.7,-0.2,0,100,94
180,0.2,50,5,1,0.3,0.7,-0.2,0,100,90
180,0.4,50,5,1,0.3,0.7,-0.2,0,100,72
180,0.1,50,5,1,0.4,0.7,-0.2,0,100,99
180,0.2,50,5,1,0.4,0.7,-0.2,0,100,95
180,0.4,50,5,1,0.4,0.7,-0.2,0,100,94
180,0.1,50,5,1,0.5,0.7,-0.2,0,100,100
180,0.2,50,5,1,0.5,0.7,-0.2,0,100,100
180,0.4,50,5,1,0.5,0.7,-0.2,0,100,99
180,0.1,50,5,1,0.1,0.8,-0.2,0,100,53
180,0.2,50,5,1,0.1,0.8,-0.2,2,100,55
180,0.4,50,5,1,0.1,0.8,-0.2,4,100,31
180,0.1,50,5,1,0.2,0.8,-0.2,0,100,97
180,0.2,50,5,1,0.2,0.8,-0.2,0,100,93
180,0.4,50,5,1,0.2,0.8,-0.2,0,100,93
180,0.1,50,5,1,0.3,0.8,-0.2,0,100,100
180,0.2,50,5,1,0.3,0.8,-0.2,0,100,100
180,0.4,50,5,1,0.3,0.8,-0.2,0,100,99
180,0.1,50,5,1,0.4,0.8,-0.2,0,100,100
180,0.2,50,5,1,0.4,0.8,-0.2,0,100,100
180,0.4,50,5,1,0.4,0.8,-0.2,0,100,100
180,0.1,50,5,1,0.5,0.8,-0.2,0,100,100
180,0.2,50,5,1,0.5,0.8,-0.2,0,100,100
180,0.4,50,5,1,0.5,0.8,-0.2,0,100,100
180,0.1,50,5,1,0.1,0.9,-0.2,0,100,100
180,0.2,50,5,1,0.1,0.9,-0.2,0,100,100
180,0.4,50,5,1,0.1,0.9,-0.2,0,100,98
180,0.1,50,5,1,0.2,0.9,-0.2,0,100,100
180,0.2,50,5,1,0.2,0.9,-0.2,0,100,100
180,0.4,50,5,1,0.2,0.9,-0.2,0,100,100
180,0.1,50,5,1,0.3,0.9,-0.2,0,100,100
180,0.2,50,5,1,0.3,0.9,-0.2,0,100,100
180,0.4,50,5,1,0.3,0.9,-0.2,0,100,100
180,0.1,50,5,1,0.4,0.9,-0.2,0,100,100
180,0.2,50,5,1,0.4,0.9,-0.2,0,100,100
180,0.4,50,5,1,0.4,0.9,-0.2,0,100,100
180,0.1,50,5,1,0.5,0.9,-0.2,0,100,100
180,0.2,50,5,1,0.5,0.9,-0.2,0,100,100
180,0.4,50,5,1,0.5,0.9,-0.2,0,100,100
180,0.1,50,5,1,0.1,0.95,-0.2,0,100,100
180,0.2,50,5,1,0.1,0.95,-0.2,0,100,100
180,0.4,50,5,1,0.1,0.95,-0.2,0,100,100
180,0.1,50,5,1,0.2,0.95,-0.2,0,100,100
180,0.2,50,5,1,0.2,0.95,-0.2,0,100,100
180,0.4,50,5,1,0.2,0.95,-0.2,0,100,100
180,0.1,50,5,1,0.3,0.95,-0.2,0,100,100
180,0.2,50,5,1,0.3,0.95,-0.2,0,100,100
180,0.4,50,5,1,0.3,0.95,-0.2,0,100,100
180,0.1,50,5,1,0.4,0.95,-0.2,0,100,100
180,0.2,50,5,1,0.4,0.95,-0.2,0,100,100
180,0.4,50,5,1,0.4,0.95,-0.2,0,100,100
180,0.1,50,5,1,0.5,0.95,-0.2,0,100,100
180,0.2,50,5,1,0.5,0.95,-0.2,0,100,100
180,0.4,50,5,1,0.5,0.95,-0.2,1,100,100
